Title Incident Report,Segment,Location,Date,Department / Area,Process,Operation Mode,Machine Category,Machine Type,Riskfactor,Repeat Incident,Maximum Possible Damage/Harm Occurred,Employee_Type,Gender,Type of Injury,Injured Body Part,Lost Days,Accident type
leg injury,Electric,Siliana,2023-11-18,,Other,,,,,NO,NO,DRX,Female,Crush/bruise,Leg,30,Work related accident
leg injury,Electric,Siliana,2023-11-25,Maintenance,,,,,,NO,NO,DRX,Male,Fracture,Leg,37,Work related accident
knee injury,Electric,Siliana,2023-11-27,IR,Other,,,,11.2 - Humans,NO,NO,DRX,Female,Crush/bruise,Leg,3,Non-work related accident
epole injury,Electric,Siliana,2023-12-01,,Logistics,,,,1.2 - Workplace-related operating instruction,NO,NO,DRX,Male,Fracture,Arm,31,Work related accident
hand injury,Electric,Siliana,2023-12-18,Maintenance,,,,,,,,,,Crush/bruise,Hand,,Work related accident
back injury,Interior,SousseUATS,2023-03-26,Production,E-Assembly - Item number,,,,3.1 - Heavy physical work,YES,NO,DRX,Male,Sprain / Strain,Body,29,Work related accident
fall a metal door on the employee,Interior,SousseUATS,2023-06-17,Logistics,Other,,,,4.4 - Parts moving uncontrolled,NO,NO,DRX,Male,Burn/scald,Head,28,Work related accident
Fall due to slipping,Interior,SousseUATS,2023-07-17,Logistics,Logistics,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,NO,DRX,Male,Sprain / Strain,Body,14,Work related accident
hand injury,Interior,SousseUATS,2023-09-05,Production,Other,,Processing Machines,Sewing,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Stab injury,Hand,6,Work related accident
shoulder injury,Interior,SousseUATS,2023-07-30,Production,C-Back End (assembly),,Processing Machines,AP2_JLR,4.4 - Parts moving uncontrolled,NO,NO,DRX,Male,Sprain / Strain,Arm,131,Work related accident
Moving abnormally caused by Carrying a heavy box,Interior,SousseUATS,2023-11-06,Production,E-Assembly - Item number,,Packaging Machine,Assembly,3.1 - Heavy physical work,NO,NO,DRX,Male,Other,Body,8,Work related accident
finger injury,Electric,SousseMETS,2023-01-19,BX8,E-Final Assembly - Customer order,,-,,1.2 Parts with dangerous surfaces,NO,,DRX,Female,Crush/bruise,Hand,20,Work related accident
ankle injury,Electric,SousseMETS,2023-02-02,BX8,Other,,-,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,,DRX,Female,Crush/bruise,Foot,11,Non-work related accident
foot injury,Electric,SousseMETS,2023-02-02,KS,Other,,-,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Female,Crush/bruise,Foot,7,Work related accident
finger injury,Electric,SousseMETS,2023-02-08,VK,E-Cable Cutting - cable or cable-set,,Power / Work Machine,crimping machine,1.2 - Workplace-related operating instruction,YES,,DRX,Female,Crush/bruise,Hand,11,Work related accident
back injury,Electric,SousseMETS,2023-02-17,Production,E-Cable Cutting - cable or cable-set,,,,3.1 - Heavy physical work,YES,,DRX,Male,Sprain / Strain,Body,11,Work related accident
Lumbar trauma,Electric,SousseMETS,2023-04-14,VK,E-Cable Cutting - cable or cable-set,,,,3.8 - Impeded handling of work equipment,NO,,DRX,Female,Crush/bruise,Body,6,Work related accident
back injury,Electric,SousseMETS,2023-04-26,BX8,Other,,-,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,,DRX,Female,Other,Body,21,Non-work related accident
hand injury,Electric,SousseMETS,2023-05-04,BX8,E-Final Assembly - Customer order,,Conveyor System / Robot,Baubrett (Assembly line),1.2 - Workplace-related operating instruction,NO,,DRX,Male,Crush/bruise,Hand,20,Work related accident
Slipping leading to Right Hip Injury,Electric,SousseMETS,2023-05-25,Zeta,Other,,-,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,,DRX,Female,Crush/bruise,Leg,11,Non-work related accident
Head injury,Electric,SousseMETS,2023-05-24,Production,-,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,,DRX,Male,Crush/bruise,Head,6,Non-work related accident
shoulder injury,Electric,SousseMETS,2023-06-08,KS,E-Cable Cutting - cable or cable-set,,Lifting Gear / conveyors,,4.3 - Means of transport,YES,,DRX,Male,Other,Body,8,Work related accident
wrist injury,Electric,SousseMETS,2023-06-07,Logistics,E-Final Assembly - Customer order,,-,,1.1 - Workplace-related training,NO,,DRX,Female,Crush/bruise,Hand,11,Work related accident
shoulder injury,Electric,SousseMETS,2023-07-06,Logistics,Logistics,,,,1.2 - Workplace-related operating instruction,NO,,DRX,Male,Crush/bruise,Body,7,Work related accident
thumb injury,Electric,SousseMETS,2023-10-13,KS,E-Cable Cutting - cable or cable-set,,,,1.4 - Hazardous work,NO,,DRX,Male,Crush/bruise,Hand,15,Work related accident
finger injury,Electric,Jemmal,2023-05-11,Production,Logistics,,Tools / Utilities,Electric screwdriver,1.2 - Workplace-related operating instruction,NO,NO,DRX,Male,Stab injury,Hand,5,Work related accident
finger injury,Electric,Jemmal,2023-05-16,Production,Logistics,,Tools / Utilities,stepladder,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,NO,DRX,Male,Sprain / Strain,Hand,9,Work related accident
hand injury,Electric,Jemmal,2023-05-20,Production,Other,,Conveyor System / Robot,workstation,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Crush/bruise,Hand,5,Work related accident
hand injury,Electric,Jemmal,2023-05-29,Production,I-Production step 4 - bulk assembly - production island,,Wood and processing machines,support metalique,3.8 - Impeded handling of work equipment,,,DRX,Female,Crush/bruise,Hand,5,Work related accident
finger injury,Electric,Jemmal,2023-06-12,Production,E-Assembly - Item number,,Lifting Gear / conveyors,plastic boxes,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Crush/bruise,Hand,5,Work related accident
hand injury,Electric,Jemmal,2023-07-10,Foaming Area,C-Mid End (injection molding / stamping - bending ...),,Plastics processing machines,foaming ingection machine,4.4 - Parts moving uncontrolled,NO,NO,DRX,Male,Crush/bruise,Hand,5,Work related accident
hand injury,Electric,Jemmal,2023-08-30,Production IR,E-Final Assembly - Customer order,,Wood and processing machines,Metal support,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Crush/bruise,Hand,5,Work related accident
back injury,Electric,Jemmal,2023-08-30,Administration,Office,,,,2.2 - Traffic routes,NO,,DRX,Male,Sprain / Strain,Body,5,Work related accident
neck injury,Electric,Jemmal,2023-09-18,IR,E-Final Assembly - Customer order,,,,11.2 - Humans,NO,YES,DRX,Female,Sprain / Strain,Body,5,Work related accident
head injury,Electric,Jemmal,2023-09-19,IR,Logistics,,Tools / Utilities,stepladder locking bracket,4.2 - Parts with hazardous surfaces,NO,NO,DRX,Male,Crush/bruise,Head,5,Work related accident
hand injury,Electric,Jemmal,2023-01-03,Production,Logistics,,Tools / Utilities,shelfs,3.1 - Heavy physical work,NO,YES,DRX,Male,Sprain / Strain,Hand,9,Work related accident
hand injury,Electric,Jemmal,2023-02-15,Production,Other,,Processing Machines,Electrical function test,4.4 - Parts moving uncontrolled,NO,YES,DRX,Male,Crush/bruise,Hand,8,Work related accident
hand injury,Electric,Jemmal,2023-04-03,FBB,Other,,Wood and processing machines,Nutrunner,4.4 - Parts moving uncontrolled,NO,YES,DRX,Male,Crush/bruise,Hand,5,Work related accident
thumb injury,Electric,Jemmal,2023-04-19,Logistics,Logistics,,Tools / Utilities,racks,1.10 - General communication,NO,YES,DRX,Male,Crush/bruise,Hand,15,Work related accident
hand injury,Electric,Jemmal,2023-06-01,IR,I-Production step 4 - bulk assembly - production island,,Wood and processing machines,support metallique,3.8 - Impeded handling of work equipment,YES,,DRX,Female,Crush/bruise,Hand,2,Work related accident
trolley Accident,Electric,Jemmal,2023-11-13,Foaming Area,C-Mid End (injection molding / stamping - bending ...),,Tool / Utilities,trolley,4.3 - Means of transport,NO,NO,DRX,Male,Cut,Foot,10,Work related accident
Leg injury,Electric,ElJem,2024-01-30,IR,Other,,Lifting Gear / conveyors,trolley,2.2 - Traffic routes,NO,NO,DRX,Female,Crush/bruise,Leg,9,Work related accident
head injury,Electric,ElJem,2024-04-24,MR,Other,,Work place / paths,the Guillot support,2.2 - Traffic routes,NO,NO,DRX,Male,Crush/bruise,Head,4,Work related accident
hand injury,Electric,ElJem,2024-06-06,Production,Other,,Metal Working Machine,the pince of boutel,3.8 - Impeded handling of work equipment,NO,NO,DRX,Female,Crush/bruise,Hand,10,Work related accident
hand injury,Electric,ElJem,2024-09-07,MM,Logistics,,Work place / paths,stepladder,3.8 - Impeded handling of work equipment,NO,NO,DRX,Male,Crush/bruise,Hand,5,Work related accident
Intervention on the Tesa spender adhesive tape cutting machine,Electric,Siliana,2024-01-06,KS,E-Cable Cutting - cable or cable-set,,Machine Tool,Tesa spender,1.3 - Coordination of work,NO,,DRX,Female,Stab wound,Hand,10,Work related accident
hand injury,Electric,Siliana,2024-02-05,Production,E-Assembly - Item number,,Tools / Utilities,Three-hole expansion pliers (HWZ),11.2 - Humans,NO,,DRX,Female,Fracture,Hand,117,Work related accident
hand injury,Electric,Siliana,2024-02-17,Maintenance,Other,,Wood and processing machines,,4.1 - Unprotected moving parts of machinery,NO,NO,DRX,Male,Stab wound,Hand,3,Work related accident
Face injury ,Electric,Siliana,2024-01-10,Production,I-Production step 4 - bulk assembly - production cell,,Tools / Utilities,,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Stab wound,Head,5,Work related accident
leg injury,Electric,Siliana,2024-01-01,,,,,,,,,,,,,8,
epole injury,Electric,Siliana,2024-01-01,,,,,,,,,,,,,2,
ankle injury,Electric,Siliana,2024-03-21,Production,I-Production step 4 - bulk assembly - production cell,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Female,Sprain / strain,Foot,13,Non-work related accident
hand injury,Electric,Siliana,2024-05-07,Production,I-Production step 4 - bulk assembly - production cell,,,,11.2 - Humans,NO,,DRX,Female,Other,Hand,14,Non-work related accident
finger injury,Electric,Siliana,2024-05-08,KS,E-Cable Cutting - cable or cable-set,,Power / Work Machine,Schafer-736,1.2 - Workplace-related operating instruction,NO,NO,DRX,Female,Sprain / strain,Hand,21,Non-work related accident
shoulder injury,Electric,Siliana,2024-05-27,Logistics,Logistics,,Lifting Gear / conveyors,,4.2 - Parts with hazardous surfaces,NO,,DRX,Male,,Hand,3,Work related accident
hand injury,Electric,Siliana,2024-05-22,Production,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Female,Other,Hand,10,Non-work related accident
Epileptic Seizure,Electric,Siliana,2024-05-28,ZSB,E-Assembly - Item number,,,,11.2 - Humans,NO,,DRX,Female,Sprain / strain,Hand,21,Non-work related accident
eye injury,Electric,Siliana,2024-08-28,ZSB,E-Final Assembly - Customer order,,,,4.2 - Parts with hazardous surfaces,NO,,DRX,Female,Other,Eye,7,Work related accident
Use of a Blade Holder,Electric,Siliana,2024-09-18,Logistics,Logistics,,Tools / Utilities,Blade Holder,4.2 - Parts with hazardous surfaces,NO,NO,DRX,Female,Stab wound,Hand,8,Work related accident
hand injury,Electric,Siliana,2024-09-19,Logistics,Logistics,,,,3.1 - Heavy physical work,NO,YES,DRX,Male,Other,Body,7,Work related accident
Fall of an Operator Using an Inadequate Ladder,Electric,Siliana,2024-09-21,Bereit,Logistics,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Fracture,Hand,49,Work related accident
back injury,Electric,Siliana,2024-09-25,Logistics,Logistics,,,,3.1 - Heavy physical work,YES,YES,DRX,Male,Other,Body,15,Work related accident
finger injury,Electric,Siliana,2024-10-10,VK,E-Cable Cutting - cable or cable-set,,Machine Tool,HANKE 11290/044,4.4 - Parts moving uncontrolled,NO,,DRX,Male,Cut,Hand,45,Work related accident
eye injury,Electric,Siliana,2024-10-23,MR,E-Final Assembly - Customer order,,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Female,Other,Eye,7,Work related accident
eye injury,Electric,Siliana,2024-10-24,MM,E-Staging Pre-assembly - Detail Planning Group DPG,,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Female,Other,Eye,10,Work related accident
finger injury,Interior,SousseUATS,2024-02-17,SI,Other,,Tools / Utilities,Fire fighting door,3.1 - Heavy physical work,NO,NO,DRX,Male,Fracture,Hand,36,Work related accident
knee injury,Interior,SousseUATS,2024-10-08,Production,Other,,Tools / Utilities,wooden pallet in the production process,"10.2 - Scope of action, responsibility",NO,NO,DRX,Male,Other,Leg,8,Work related accident
Falling leading to Cervical Trauma,Electric,SousseMETS,2024-03-06,zeta,E-Cable Cutting - cable or cable-set,,Work place / paths,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Male,Crush/bruise,Body,15,Work related accident
eye injury,Electric,SousseMETS,2024-05-22,BX8,C-Back End (assembly),,Work place / paths,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Male,Crush/bruise,Eye,8,Work related accident
foot injury,Electric,SousseMETS,2024-06-04,KS,E-Cable Cutting - cable or cable-set,,Work place / paths,,2.2 - Traffic routes,NO,,DRX,Female,Sprain / Strain,Foot,9,Work related accident
ankle injury,Electric,SousseMETS,2024-08-14,BX8,C-Back End (assembly),,Work place / paths,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Crush/bruise,Leg,14,Non-work related accident
Right Arm Injury,Electric,SousseMETS,2024-09-23,KS,Other,,Work place / paths,,3.10 - Workstations,NO,NO,DRX,Male,Crush/bruise,Arm,11,Work related accident
ankle injury,Electric,SousseMETS,2024-09-18,Outside building,Other,,-,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",,,DRX,Male,Sprain / Strain,Foot,11,Non-work related accident
hand injury,Electric,SousseMETS,2024-11-27,KS,Other,,-,KOMAX 253,4.4 - Parts moving uncontrolled,NO,,DRX,Male,Fracture,Hand,17,Work related accident
trip and fall Incident,Electric,Jemmal,2024-01-30,IR,E-Assembly - Item number,,Tools / Utilities,metal cart,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Female,Laceration,Hand,10,Work related accident
eye injury,Electric,Jemmal,2024-03-21,,E-Final Assembly - Customer order,,Metal Working Machine,IR table structure,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Cut,Head,6,Work related accident
foot injury,Electric,Jemmal,2024-02-27,changing room,Other,,Work place / paths,changing room floor,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Female,Sprain / strain,Leg,13,Non-work related accident
Leg injury,Electric,Jemmal,2024-03-06,Logistics,Logistics,,Tools / Utilities,plastic box,4.4 - Parts moving uncontrolled,NO,YES,DRX,Male,Crush/bruise,Leg,4,Work related accident
finger injury,Electric,Jemmal,2024-08-15,WC,Other,,Tools / Utilities,changing room,2.1 - Working spaces,NO,YES,DRX,Male,Fracture,Hand,13,Non-work related accident
thumb injury,Electric,Jemmal,2024-10-21,IR,E-Final Assembly - Customer order,,Machine Tool,foaming machine mold,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Sprain / Strain,Hand,4,Work related accident
head injury,Electric,Jemmal,2024-10-26,Maintenance,E-Final Assembly - Customer order,,Tools / Utilities,feeding workstation,3.1 - Heavy physical work,NO,YES,DRX,Male,Crush/bruise,Head,6,Work related accident
back injury,Electric,Jemmal,2024-11-14,Production,E-Assembly - Item number,,Work place / paths,,11.2 - Humans,NO,NO,DRX,Female,Sprain / strain,Body,5,Work related accident
hand injury,Electric,Jemmal,2024-11-16,Production,Other,,Work place / paths,Plastic box,3.8 - Impeded handling of work equipment,NO,NO,DRX,Male,Fracture,Hand,31,Work related accident
back injury,Electric,Jemmal,2024-12-02,IR,E-Final Assembly - Customer order,,Work place / paths,anti fatigue mat,2.1 - Working spaces,NO,YES,DRX,Female,Sprain / Strain,Body,27,Work related accident
Wound due to connecter,Electric,Jemmal,2024-12-06,Production,E-Assembly - Item number,,Tools / Utilities,cable connector,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Laceration,Hand,5,Work related accident
foot injury,Interior,Rosslyn,2024-06-24,Logistics,,,,,,,,DRX,,,Foot,20,Work related accident
